Strains	Ensifer_adhaerens_AG1206	Ensifer_adhaerens_Casida_A	Ensifer_adhaerens_L18	Ensifer_adhaerens_M78	Ensifer_adhaerens_OV14	Ensifer_adhaerens_SD006	Ensifer_adhaerens_ST2	Ensifer_adhaerens_WJB133_25_10	Ensifer_alkalisoli_YIC4027	Ensifer_aridi_JNVU_TP6	Ensifer_aridi_LEM451	Ensifer_aridi_LEM457	Ensifer_aridi_LMR001	Ensifer_aridi_LMR013	Ensifer_aridi_TW10	Ensifer_glycinis_CCBAU_23380	Ensifer_morelense_Lc04	Ensifer_psoraleae_CCBAU_65732	Ensifer_sesbaniae_CCBAU_65729	Ensifer_shofinae_CCBAU_251167	Ensifer_sojae_CCBAU_05684	Ensifer_sp_1H6	Ensifer_sp_AP48	Ensifer_sp_BR816	Ensifer_sp_LC11	Ensifer_sp_LC13	Ensifer_sp_LC14	Ensifer_sp_LC163	Ensifer_sp_LC384	Ensifer_sp_LC499	Ensifer_sp_LC54	Ensifer_sp_LCM_4579	Ensifer_sp_M14	Ensifer_sp_MMN_5	Ensifer_sp_NM_2	Ensifer_sp_OV372	Ensifer_sp_Root1252	Ensifer_sp_Root127	Ensifer_sp_Root1298	Ensifer_sp_Root1312	Ensifer_sp_Root142	Ensifer_sp_Root231	Ensifer_sp_Root258	Ensifer_sp_Root278	Ensifer_sp_Root31	Ensifer_sp_Root423	Ensifer_sp_Root558	Ensifer_sp_Root74	Ensifer_sp_Root954	Ensifer_sp_T2_8	Ensifer_sp_USDA_6670	Ensifer_sp_WSM1721	Ensifer_sp_YR511	Ensifer_sp_ZNC0028	Sinorhizobium_americanum_CCGM7	Sinorhizobium_americanum_CFNEI_156	Sinorhizobium_americanum_CFNEI_73	Sinorhizobium_americanum_FG01	Sinorhizobium_americanum_NG07B	Sinorhizobium_arboris_LMG_14919	Sinorhizobium_fredii_CCBAU_05557	Sinorhizobium_fredii_CCBAU_25509	Sinorhizobium_fredii_CCBAU_45436	Sinorhizobium_fredii_CCBAU_83622	Sinorhizobium_fredii_CCBAU_83643	Sinorhizobium_fredii_CCBAU_83666	Sinorhizobium_fredii_CCBAU_83753	Sinorhizobium_fredii_GR64	Sinorhizobium_fredii_HH103	Sinorhizobium_fredii_NGR234	Sinorhizobium_fredii_NXT3	Sinorhizobium_fredii_PCH1	Sinorhizobium_fredii_USDA_205	Sinorhizobium_fredii_USDA_257	Sinorhizobium_medicae_DI28	Sinorhizobium_medicae_Str1	Sinorhizobium_medicae_Str10	Sinorhizobium_medicae_Str11	Sinorhizobium_medicae_Str12	Sinorhizobium_medicae_Str13	Sinorhizobium_medicae_Str14	Sinorhizobium_medicae_Str15	Sinorhizobium_medicae_Str16	Sinorhizobium_medicae_Str17	Sinorhizobium_medicae_Str18	Sinorhizobium_medicae_Str3	Sinorhizobium_medicae_Str6	Sinorhizobium_medicae_Str7	Sinorhizobium_medicae_Str8	Sinorhizobium_medicae_Str9	Sinorhizobium_medicae_WSM1115	Sinorhizobium_medicae_WSM1369	Sinorhizobium_medicae_WSM244	Sinorhizobium_medicae_WSM419	Sinorhizobium_meliloti_1021	Sinorhizobium_meliloti_1A42	Sinorhizobium_meliloti_2011	Sinorhizobium_meliloti_4H41	Sinorhizobium_meliloti_5A14	Sinorhizobium_meliloti_A0641M	Sinorhizobium_meliloti_A0643DD	Sinorhizobium_meliloti_AC50a	Sinorhizobium_meliloti_AE608H	Sinorhizobium_meliloti_AK11	Sinorhizobium_meliloti_AK170	Sinorhizobium_meliloti_AK555	Sinorhizobium_meliloti_AK58	Sinorhizobium_meliloti_AK75	Sinorhizobium_meliloti_AK83	Sinorhizobium_meliloti_B399	Sinorhizobium_meliloti_B401	Sinorhizobium_meliloti_BL225C	Sinorhizobium_meliloti_BM806	Sinorhizobium_meliloti_BO21CC	Sinorhizobium_meliloti_C0431A	Sinorhizobium_meliloti_C0438LL	Sinorhizobium_meliloti_CCMM_B554_FSM_MA	Sinorhizobium_meliloti_CCNWSX0020	Sinorhizobium_meliloti_CIAM1775	Sinorhizobium_meliloti_CXM1_105	Sinorhizobium_meliloti_DSM_23914	Sinorhizobium_meliloti_GR4	Sinorhizobium_meliloti_GVPV12	Sinorhizobium_meliloti_H1	Sinorhizobium_meliloti_HM006	Sinorhizobium_meliloti_KH35c	Sinorhizobium_meliloti_KH46	Sinorhizobium_meliloti_L5_30	Sinorhizobium_meliloti_M162	Sinorhizobium_meliloti_M270	Sinorhizobium_meliloti_Mlalz_1	Sinorhizobium_meliloti_MVII_I	Sinorhizobium_meliloti_Rm41	Sinorhizobium_meliloti_RMO17	Sinorhizobium_meliloti_RRl128	Sinorhizobium_meliloti_RU11_011	Sinorhizobium_meliloti_SM11	Sinorhizobium_meliloti_T073	Sinorhizobium_meliloti_USDA1021	Sinorhizobium_meliloti_USDA1106	Sinorhizobium_meliloti_USDA1157	Sinorhizobium_meliloti_WSM1022	Sinorhizobium_meliloti_WSM4191	Sinorhizobium_saheli_LMG_7837	Sinorhizobium_sp_A49	Sinorhizobium_sp_BJ1	Sinorhizobium_sp_CCBAU_05631	Sinorhizobium_sp_FG01	Sinorhizobium_sp_GL2	Sinorhizobium_sp_GL28	Sinorhizobium_sp_GW3	Sinorhizobium_sp_LM21	Sinorhizobium_sp_M4_45	Sinorhizobium_sp_NFACC03	Sinorhizobium_sp_NG07B	Sinorhizobium_sp_PC2	Sinorhizobium_sp_Sb3
Ensifer_adhaerens_AG1206	100	98.98	93.76	90.96	84.18	84.71	93.10	98.95	79.38	80.36	80.24	80.38	80.24	80.31	80.39	80.72	84.55	80.71	90.36	79.51	79.69	84.14	91.06	80.12	91.18	91.19	91.18	85.24	85.20	91.19	85.20	79.70	84.30	79.84	84.09	98.88	84.15	84.18	98.88	98.88	84.19	84.16	84.16	90.99	84.03	98.88	98.90	98.88	98.89	79.95	79.88	80.43	98.79	95.58	80.14	80.10	80.20	80.37	80.52	79.83	80.13	80.06	80.10	80.12	79.98	80.02	79.94	79.95	80.08	80.20	80.25	80.00	80.15	80.10	79.29	79.03	79.14	79.21	79.00	79.09	79.33	79.13	79.06	78.97	79.23	79.31	79.06	79.24	79.11	78.89	79.27	79.46	79.15	79.16	80.04	79.62	80.02	79.85	79.86	79.77	79.96	79.89	80.12	79.93	80.08	80.26	80.07	79.80	80.27	80.47	80.23	80.02	80.02	79.84	79.94	80.05	79.92	79.87	80.15	80.07	80.04	79.99	79.79	79.95	79.86	79.93	80.04	80.10	80.07	79.54	79.92	79.90	80.01	79.96	79.87	79.87	80.08	80.04	80.19	80.05	79.90	79.89	79.10	80.44	84.39	80.04	80.30	80.37	98.47	90.87	98.63	98.95	79.73	90.86	80.52	80.12	90.76
Ensifer_adhaerens_Casida_A	98.98	100	93.98	91.06	84.37	84.79	93.35	99.06	79.50	80.38	80.46	80.57	80.43	80.44	80.46	80.80	84.67	81.07	90.73	79.73	79.80	84.38	91.24	80.28	91.30	91.31	91.30	85.33	85.30	91.30	85.30	80.03	84.70	79.98	84.24	99.70	84.29	84.32	98.98	98.99	84.31	84.30	84.29	91.18	84.18	99.52	99.58	98.99	99.00	79.96	80.09	80.61	98.80	95.75	80.36	80.36	80.43	80.58	80.64	79.99	80.35	80.29	80.28	80.31	80.18	80.19	80.15	80.30	80.25	80.36	80.45	80.10	80.33	80.22	79.32	79.17	79.20	79.33	79.15	79.15	79.43	79.29	79.17	79.08	79.33	79.43	79.20	79.36	79.25	79.03	79.43	79.44	79.26	79.34	80.16	79.88	80.07	80.06	80.14	79.85	80.15	80.12	80.17	80.10	80.27	80.35	80.18	80.07	80.31	80.27	80.32	80.12	80.13	79.98	79.95	80.11	80.11	80.06	80.19	80.09	80.09	80.05	79.94	80.04	79.98	80.09	80.15	80.20	80.29	79.70	80.09	80.10	80.09	80.10	79.87	80.08	80.18	80.15	80.16	80.15	79.94	80.03	79.29	80.63	84.59	80.15	80.58	80.59	98.73	91.11	98.94	99.09	80.01	91.00	80.64	80.33	90.96
Ensifer_adhaerens_L18	93.76	93.98	100	91.40	84.46	84.86	94.89	93.93	79.91	80.62	80.50	80.63	80.65	80.62	80.75	81.05	84.74	81.11	90.72	79.90	80.03	84.48	91.37	80.63	91.41	91.41	91.40	85.26	85.17	91.41	85.18	80.23	84.71	80.41	84.38	93.85	84.42	84.44	93.76	93.76	84.43	84.44	84.45	91.23	84.28	93.81	93.83	93.77	93.76	80.27	80.28	80.71	93.77	93.56	80.47	80.53	80.60	80.75	80.71	80.21	80.66	80.55	80.66	80.51	80.52	80.40	80.46	80.44	80.57	80.70	80.61	80.34	80.61	80.36	79.67	79.44	79.49	79.63	79.42	79.43	79.65	79.45	79.43	79.38	79.65	79.68	79.44	79.63	79.54	79.28	79.71	79.90	79.55	79.62	80.41	80.13	80.39	80.44	80.48	80.21	80.34	80.42	80.49	80.41	80.49	80.57	80.44	80.29	80.59	80.88	80.63	80.38	80.33	80.27	80.28	80.42	80.31	80.33	80.48	80.43	80.39	80.40	80.27	80.41	80.29	80.38	80.32	80.49	80.49	79.89	80.40	80.34	80.30	80.26	80.22	80.40	80.37	80.48	80.42	80.40	80.25	80.29	79.52	80.70	84.77	80.38	80.63	80.75	93.78	91.42	93.88	93.88	80.36	91.26	80.72	80.51	90.88
Ensifer_adhaerens_M78	90.96	91.06	91.40	100	84.95	85.58	91.01	91.04	80.05	81.00	81.05	81.05	81.13	81.05	81.12	81.31	85.00	81.74	92.90	80.37	80.10	84.92	96.73	80.92	91.61	91.62	91.61	85.68	85.51	91.59	85.53	80.33	84.91	80.38	85.08	90.98	85.06	85.02	90.91	90.93	85.05	85.10	85.09	96.76	84.91	90.96	91.00	90.91	90.89	80.40	80.36	81.21	90.80	90.93	80.64	80.72	80.78	80.88	80.84	80.31	80.89	80.80	80.89	80.90	80.88	80.81	80.76	80.96	80.92	81.04	80.79	80.85	80.90	80.77	79.83	79.63	79.71	79.72	79.63	79.65	79.66	79.59	79.68	79.67	79.71	79.80	79.64	79.76	79.58	79.35	79.78	79.95	79.61	79.73	80.42	80.11	80.39	80.39	80.42	80.23	80.49	80.39	80.51	80.31	80.57	80.57	80.52	80.36	80.60	80.62	80.64	80.46	80.41	80.30	80.29	80.47	80.48	80.49	80.53	80.52	80.45	80.34	80.31	80.37	80.39	80.48	80.43	80.60	80.64	80.15	80.47	80.35	80.43	80.47	80.27	80.37	80.50	80.54	80.49	80.39	80.38	80.40	79.57	80.91	85.18	80.82	80.84	80.87	90.98	96.67	90.93	91.00	80.27	96.51	80.84	80.95	96.42
Ensifer_adhaerens_OV14	84.18	84.37	84.46	84.95	100	93.19	84.04	84.32	79.54	80.63	80.59	80.85	80.82	80.80	80.63	80.73	91.98	81.19	84.68	79.93	80.00	99.00	84.89	80.43	85.08	85.09	85.08	93.45	93.38	85.08	93.44	79.83	92.36	80.17	98.70	84.28	98.83	98.82	84.00	84.02	98.80	98.82	98.84	85.02	98.62	84.36	84.32	84.04	84.00	80.13	80.17	80.58	84.03	84.43	80.22	80.33	80.36	80.79	80.72	80.05	80.47	80.37	80.38	80.40	80.48	80.35	80.28	80.51	80.35	80.50	80.47	80.34	80.51	80.53	79.50	79.28	79.25	79.51	79.19	79.20	79.57	79.40	79.30	79.22	79.49	79.59	79.42	79.58	79.35	79.08	79.52	79.62	79.37	79.49	80.37	80.03	80.35	80.15	80.20	80.13	80.16	80.13	80.27	80.28	80.36	80.42	80.45	80.41	80.25	80.64	80.63	80.38	80.48	80.22	80.15	80.31	80.37	80.21	80.49	80.42	80.35	80.16	79.98	80.23	80.30	80.42	80.39	80.36	80.51	79.91	80.14	80.22	80.27	80.44	80.16	80.20	80.26	80.25	80.34	80.35	80.27	80.27	79.33	80.61	92.46	80.54	80.58	80.79	84.05	84.76	84.01	84.06	80.10	84.96	80.72	80.43	84.66
Ensifer_adhaerens_SD006	84.71	84.79	84.86	85.58	93.19	100	84.59	84.76	80.04	81.14	81.17	81.22	81.23	81.14	81.12	81.39	92.39	81.68	85.05	80.40	80.41	93.31	85.37	80.75	85.48	85.49	85.47	95.36	95.36	85.48	95.37	80.20	92.40	80.45	93.15	84.80	93.09	93.09	84.50	84.51	93.14	93.09	93.10	85.29	93.10	84.71	84.77	84.52	84.49	80.38	80.54	81.09	84.51	84.95	80.64	80.78	80.84	81.13	81.14	80.38	80.76	80.74	80.60	80.75	80.86	80.72	80.71	81.05	80.74	80.94	80.99	80.77	80.85	80.79	79.94	79.67	79.70	79.97	79.62	79.61	79.99	79.87	79.70	79.60	79.92	80.02	79.87	80.03	79.89	79.46	80.01	80.03	79.83	79.90	80.53	80.22	80.53	80.52	80.37	80.23	80.36	80.44	80.42	80.35	80.56	80.49	80.44	80.34	80.48	81.06	80.79	80.28	80.39	80.34	80.19	80.38	80.44	80.29	80.49	80.47	80.32	80.42	80.24	80.26	80.40	80.41	80.39	80.45	80.55	79.94	80.41	80.35	80.35	80.40	80.26	80.35	80.36	80.44	80.43	80.53	80.30	80.37	79.73	81.00	92.48	80.84	80.98	81.13	84.71	85.41	84.50	84.58	80.39	85.40	81.14	80.97	85.02
Ensifer_adhaerens_ST2	93.10	93.35	94.89	91.01	84.04	84.59	100	93.43	79.65	80.56	80.48	80.56	80.65	80.61	80.61	80.83	84.56	80.92	90.35	79.77	79.88	84.04	90.99	80.26	91.15	91.16	91.16	85.19	84.99	91.16	84.99	79.92	84.10	80.22	84.08	93.28	84.09	84.03	93.27	93.27	84.18	84.13	84.11	91.07	83.91	93.25	93.33	93.29	93.26	80.13	80.20	80.67	93.04	93.11	80.33	80.57	80.61	80.71	80.65	80.13	80.31	80.18	80.26	80.34	80.18	80.36	80.11	80.37	80.40	80.45	80.58	80.22	80.30	80.26	79.54	79.38	79.46	79.56	79.34	79.42	79.52	79.44	79.41	79.38	79.50	79.63	79.38	79.55	79.39	79.19	79.64	79.76	79.44	79.63	80.26	79.98	80.23	80.37	80.31	80.06	80.33	80.14	80.40	80.16	80.38	80.53	80.41	80.09	80.54	80.74	80.47	80.33	80.27	80.16	80.19	80.42	80.25	80.30	80.40	80.28	80.34	80.19	80.14	80.26	80.23	80.31	80.33	80.41	80.41	79.93	80.27	80.28	80.22	80.25	80.23	80.25	80.40	80.36	80.36	80.24	80.16	80.24	79.40	80.61	84.30	80.28	80.47	80.72	93.24	90.97	93.23	93.24	80.17	90.92	80.65	80.40	90.48
Ensifer_adhaerens_WJB133_25_10	98.95	99.06	93.93	91.04	84.32	84.76	93.43	100	79.53	80.52	80.40	80.53	80.47	80.52	80.59	80.86	84.57	80.82	90.72	79.76	79.75	84.39	91.21	80.26	91.34	91.35	91.36	85.25	85.12	91.36	85.13	79.85	84.41	80.16	84.19	98.99	84.22	84.20	99.17	99.18	84.20	84.25	84.24	91.23	84.08	99.06	98.96	99.18	99.18	80.13	80.11	80.62	99.28	95.70	80.19	80.32	80.39	80.50	80.53	79.88	80.39	80.24	80.34	80.25	80.16	80.13	80.13	80.21	80.35	80.45	80.38	80.15	80.30	80.18	79.36	79.22	79.30	79.39	79.20	79.30	79.47	79.34	79.22	79.22	79.39	79.48	79.28	79.41	79.35	79.09	79.51	79.63	79.37	79.43	80.21	79.93	80.19	80.14	80.27	80.01	80.19	80.08	80.33	80.07	80.35	80.34	80.22	80.00	80.46	80.66	80.36	80.12	80.10	80.03	80.03	80.24	80.04	80.08	80.24	80.16	80.11	80.06	79.96	80.14	80.05	80.07	80.12	80.26	80.29	79.74	80.10	80.15	80.14	80.15	80.04	80.21	80.22	80.16	80.21	80.20	80.09	80.04	79.32	80.51	84.50	80.07	80.46	80.50	98.71	91.17	99.11	99.18	80.07	91.11	80.54	80.34	91.02
Ensifer_alkalisoli_YIC4027	79.38	79.50	79.91	80.05	79.54	80.04	79.65	79.53	100	84.41	84.30	84.44	84.38	84.35	84.40	84.73	79.47	83.02	80.71	84.36	91.37	79.54	79.80	84.18	80.28	80.28	80.27	79.98	80.00	80.26	80.04	95.02	79.33	82.94	79.28	79.53	79.36	79.30	79.30	79.33	79.40	79.36	79.33	79.91	79.35	79.41	79.42	79.32	79.27	83.32	83.01	84.36	79.33	79.67	84.19	84.19	84.22	84.52	84.58	83.18	84.39	84.68	84.31	84.47	84.42	84.54	84.53	84.21	84.43	84.52	84.47	84.49	84.55	84.36	82.29	81.94	82.00	82.10	81.95	81.96	82.17	82.05	82.05	81.81	82.19	82.27	82.12	82.19	82.11	81.57	82.33	82.44	82.20	82.21	83.24	82.82	83.06	83.07	83.14	82.68	83.09	83.58	83.06	82.91	83.21	83.03	83.18	82.66	83.21	83.41	83.24	83.15	83.19	83.19	82.82	83.02	83.10	82.95	83.15	83.14	83.15	82.95	82.84	83.03	83.02	83.17	83.14	83.06	83.10	82.65	83.03	82.99	83.16	83.01	83.01	83.00	83.19	82.85	83.18	83.20	82.97	83.20	82.06	84.51	79.58	84.60	84.51	84.54	79.32	79.72	79.37	79.51	83.04	79.92	84.58	84.22	79.64
Ensifer_aridi_JNVU_TP6	80.36	80.38	80.62	81.00	80.63	81.14	80.56	80.52	84.41	100	98.13	98.37	98.50	98.41	99.79	86.94	80.64	85.77	81.52	86.57	85.03	80.67	80.90	85.90	81.10	81.12	81.10	81.45	81.38	81.09	81.43	84.61	80.71	86.19	80.44	80.36	80.53	80.42	80.35	80.37	80.41	80.55	80.53	80.94	80.44	80.28	80.32	80.35	80.33	86.52	86.36	95.77	80.16	80.56	85.93	85.99	85.94	86.24	86.17	86.46	86.41	86.48	86.40	86.37	86.31	86.37	86.40	85.96	86.48	86.30	86.32	86.34	86.45	86.67	85.36	84.98	85.10	85.17	85.04	84.94	85.05	85.12	85.08	84.83	85.33	85.35	85.18	85.32	85.26	84.86	85.40	85.49	85.25	85.30	86.47	85.98	86.45	86.12	86.49	86.15	86.22	86.37	86.46	86.07	86.48	86.48	86.46	85.87	86.55	86.86	86.68	86.51	86.48	86.42	86.19	86.37	86.46	86.39	86.34	86.55	86.52	86.34	86.08	86.17	86.40	86.50	86.43	86.50	86.46	85.85	86.29	86.40	86.45	86.51	86.24	86.32	86.43	86.36	86.52	86.44	86.44	86.38	85.17	88.00	80.86	87.31	86.48	86.24	80.20	81.09	80.22	80.42	86.35	81.00	86.17	99.02	81.06
