#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Agrobacterium sp. RAC06","Bacteria;Proteobacteria;Alphaproteobacteria","RAC06","SAMN04909720","PRJNA319838","GCA_001713475.1","Complete",4.96465,61.0784,"chromosome:NZ_CP016499.1/CP016499.1; plasmid pBSY240_1:NZ_CP016500.1/CP016500.1",,2,4586,"2016-08-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/713/475/GCA_001713475.1_ASM171347v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/713/475/GCF_001713475.1_ASM171347v1"
"Agrobacterium sp. H13-3","Bacteria;Proteobacteria;Alphaproteobacteria","H13-3","SAMN02603055","PRJNA50341","GCA_000192635.1","Complete",5.57377,58.5333,"chromosome linear:NC_015508.1/CP002249.1; chromosome circular:NC_015183.1/CP002248.1; plasmid pAspH13-3a:NC_015184.1/CP002250.1",,3,5154,"2011-03-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/635/GCA_000192635.1_ASM19263v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/635/GCF_000192635.1_ASM19263v1"
"Agrobacterium rhizogenes","Bacteria;Proteobacteria;Alphaproteobacteria","NCPPB2659","SAMN05006657","PRJNA321916","GCA_001649535.1"," Chromosome",5.27735,59.7862,"chromosome:NZ_CM004386.1/CM004386.1","LYBK01",18,4873,"2016-05-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/649/535/GCA_001649535.1_ASM164953v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/649/535/GCF_001649535.1_ASM164953v1"
"Agrobacterium vitis S4","Bacteria;Proteobacteria;Alphaproteobacteria","S4","SAMN02602976","PRJNA13372","GCA_000016285.1","Complete",6.32095,57.4965,"chromosome 1:NC_011989.1/CP000633.1; chromosome 2:NC_011988.1/CP000634.1; plasmid pAtS4a:NC_011986.1/CP000639.1; plasmid pAtS4b:NC_011991.1/CP000635.1; plasmid pAtS4c:NC_011984.1/CP000636.1; plasmid pAtS4e:NC_011981.1/CP000638.1; plasmid pTiS4:NC_011982.1/CP000637.1",,7,5588,"2009-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/285/GCA_000016285.1_ASM1628v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/285/GCF_000016285.1_ASM1628v1"
"Agrobacterium fabrum str. C58","Bacteria;Proteobacteria;Alphaproteobacteria","C58","SAMN02603108","PRJNA283","GCA_000092025.1","Complete",5.67426,59.0606,"chromosome circular:NC_003062.2/AE007869.2; chromosome linear:NC_003063.2/AE007870.2; plasmid At:NC_003064.2/AE007872.2; plasmid Ti:NC_003065.3/AE007871.2",,4,5355,"2001-10-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/025/GCA_000092025.1_ASM9202v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/025/GCF_000092025.1_ASM9202v1"
"Agrobacterium fabrum","Bacteria;Proteobacteria;Alphaproteobacteria","1D132","SAMN10169588","PRJNA494479","GCA_003667725.1","Complete",5.55311,58.9586,"chromosome circular:NZ_CP033022.1/CP033022.1; chromosome linear:NZ_CP033023.1/CP033023.1; plasmid pAt1D132a:NZ_CP033024.1/CP033024.1; plasmid pAt1D132b:NZ_CP033025.1/CP033025.1; plasmid pTi1D132:NZ_CP033026.1/CP033026.1",,5,5176,"2018-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/725/GCA_003667725.1_ASM366772v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/725/GCF_003667725.1_ASM366772v1"
"Agrobacterium rhizogenes","Bacteria;Proteobacteria;Alphaproteobacteria","K599","SAMN06314224","PRJNA373797","GCA_002005205.3","Complete",5.48224,59.6945,"chromosome 1:NZ_CP019701.2/CP019701.2; chromosome 2:NZ_CP019702.2/CP019702.2; plasmid pRi2659:NZ_CP019703.3/CP019703.3",,3,5057,"2017-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/205/GCA_002005205.3_ASM200520v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/205/GCF_002005205.3_ASM200520v3"
"Agrobacterium fabrum","Bacteria;Proteobacteria;Alphaproteobacteria","12D13","SAMN10169605","PRJNA494486","GCA_003667945.1","Complete",5.41632,59.2182,"chromosome circular:NZ_CP033034.1/CP033034.1; chromosome linear:NZ_CP033035.1/CP033035.1; plasmid pAt12D13a:NZ_CP033036.1/CP033036.1; plasmid pAt12D13b:NZ_CP033037.1/CP033037.1; plasmid pAt12D13c:NZ_CP033038.1/CP033038.1",,5,5083,"2018-10-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/667/945/GCA_003667945.1_ASM366794v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/945/GCF_003667945.1_ASM366794v1"
"Agrobacterium radiobacter K84","Bacteria;Proteobacteria;Alphaproteobacteria","K84","SAMN02602977","PRJNA13402","GCA_000016265.1","Complete",7.2733,59.8671,"chromosome 1:NC_011985.1/CP000628.1; chromosome 2:NC_011983.1/CP000629.1; plasmid pAgK84:NC_011994.1/CP000632.1; plasmid pAtK84b:NC_011990.1/CP000630.1; plasmid pAtK84c:NC_011987.1/CP000631.1",,5,6750,"2009-01-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/265/GCF_000016265.1_ASM1626v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","Ach5","SAMN03420836","PRJNA278497","GCA_000971565.1","Complete",5.66866,58.4702,"chromosome circular:NZ_CP011246.1/CP011246.1; chromosome linear:NZ_CP011247.1/CP011247.1; plasmid pAt:NZ_CP011248.1/CP011248.1; plasmid pTi:NZ_CP011249.1/CP011249.1",,4,5184,"2015-04-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/565/GCA_000971565.1_ASM97156v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/565/GCF_000971565.1_ASM97156v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","S33","SAMN04423123","PRJNA309196","GCA_001551895.1","Complete",5.4816,59.1633,"chromosome circular:NZ_CP014259.1/CP014259.1; chromosome linear:NZ_CP014260.1/CP014260.1",,2,5068,"2016-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/551/895/GCA_001551895.1_ASM155189v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/551/895/GCF_001551895.1_ASM155189v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","1D1609","SAMN06761040","PRJNA383277","GCA_002943835.1","Complete",5.98514,59.4857,"chromosome I:NZ_CP026924.1/CP026924.1; chromosome II:NZ_CP026925.1/CP026925.1; plasmid pAt1D1609a:NZ_CP026927.1/CP026927.1; plasmid pAt1D1609b:NZ_CP026928.1/CP026928.1; plasmid pTi1D1609:NZ_CP026926.1/CP026926.1",,5,5539,"2018-02-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/943/835/GCA_002943835.1_ASM294383v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/943/835/GCF_002943835.1_ASM294383v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","1D1108","SAMN10169598","PRJNA494481","GCA_003666425.1","Complete",5.76753,58.4725,"chromosome circular:NZ_CP032921.1/CP032921.1; chromosome linear:NZ_CP032922.1/CP032922.1; plasmid pAt1D1108a:NZ_CP032923.1/CP032923.1; plasmid pAt1D1108b:NZ_CP032924.1/CP032924.1; plasmid pTi1D1108:NZ_CP032925.1/CP032925.1",,5,5312,"2018-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/666/425/GCA_003666425.1_ASM366642v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/666/425/GCF_003666425.1_ASM366642v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","1D1460","SAMN10169599","PRJNA494482","GCA_003666445.1","Complete",5.68374,59.2985,"chromosome circular:NZ_CP032926.1/CP032926.1; chromosome linear:NZ_CP032927.1/CP032927.1; plasmid pAt1D1460:NZ_CP032928.1/CP032928.1; plasmid pTi1D1460:NZ_CP032929.1/CP032929.1",,4,5290,"2018-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/666/445/GCA_003666445.1_ASM366644v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/666/445/GCF_003666445.1_ASM366644v1"
"Agrobacterium tumefaciens","Bacteria;Proteobacteria;Alphaproteobacteria","15955","SAMN10169496","PRJNA494475","GCA_003666465.1","Complete",5.871,58.4875,"chromosome circular:NZ_CP032917.1/CP032917.1; chromosome linear:NZ_CP032918.1/CP032918.1; plasmid pAt15955:NZ_CP032919.1/CP032919.1; plasmid pTi15955:NZ_CP032920.1/CP032920.1",,4,5339,"2018-10-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/666/465/GCA_003666465.1_ASM366646v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/666/465/GCF_003666465.1_ASM366646v1"
